 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.012            2000              38               1               1;
     2    0.025            2000             228               1               0;
     3    0.037            2000             569               1               0;
     4    0.050            2000            1054               2               0;
     5    0.062            2000            1664               2               0;
     6    0.074            2000            2307               2               0;
     7    0.087            2000            2850               3               0;
     8    0.099            2000            3187               3               0;
     9    0.112            2000            3257               3               0;
    10    0.124            2000            3075               3               0;
    11    0.136            2000            2671               3               0;
    12    0.149            2000            2105               3               1;
    13    0.161            2000            1477               3               1;
    14    0.174            2000             907               2               1;
    15    0.186            2000             498               2               1;
    16    0.198            2000             268               2               1;
    17    0.211            2000             211               2               0;
    18    0.223            2000             307               2               0;
    19    0.236            2000             552               2               0;
    20    0.248            2000             945               2               0;
    21    0.260            2000            1469               2               0;
    22    0.273            2000            2052               3               0;
    23    0.285            2000            2571               3               0;
    24    0.298            2000            2931               3               0;
    25    0.310            2000            3063               3               0;
    26    0.322            2000            2949               3               0;
    27    0.335            2000            2618               3               0;
    28    0.347            2000            2137               3               1;
    29    0.359            2000            1591               3               1;
    30    0.372            2000            1087               3               2;
    31    0.384            2000             735               2               2;
    32    0.397            2000             578               2               2;
    33    0.409            2000             605               2               1;
    34    0.421            2000             794               2               1;
    35    0.434            2000            1118               2              -0;
    36    0.446            2000            1553               2              -1;
    37    0.459            2000            2023               3              -1;
    38    0.471            2000            2438               3              -1;
    39    0.483            2000            2714               3              -1;
    40    0.496            2000            2802               3              -1;
    41    0.508            2000            2680               3              -1;
    42    0.521            2000            2379               3              -1;
    43    0.533            2000            1956               3              -1;
    44    0.545            2000            1490               3               1;
    45    0.558            2000            1078               3               1;
    46    0.570            2000             823               2               2;
    47    0.583            2000             758               2               1;
    48    0.595            2000             871               2               1;
    49    0.607            2000            1143               2               1;
    50    0.620            2000            1548               2               0;
    51    0.632            2000            1999               3               0;
    52    0.645            2000            2393               3              -0;
    53    0.657            2000            2657               3              -0;
    54    0.669            2000            2750               3              -1;
    55    0.682            2000            2651               3              -1;
    56    0.694            2000            2386               3              -1;
    57    0.707            2000            1998               3              -1;
    58    0.719            2000            1552               3              -1;
    59    0.731            2000            1137               3               1;
    60    0.744            2000             851               3               1;
    61    0.756            2000             749               2               1;
    62    0.769            2000             823               2               1;
    63    0.781            2000            1055               2               0;
    64    0.793            2000            1419               2               0;
    65    0.806            2000            1851               3               0;
    66    0.818            2000            2266               3               0;
    67    0.831            2000            2582               3               0;
    68    0.843            2000            2748               3               0;
    69    0.855            2000            2721               3               0;
    70    0.868            2000            2517               3               0;
    71    0.880            2000            2175               3               0;
    72    0.893            2000            1750               3               1;
    73    0.905            2000            1328               3               1;
    74    0.917            2000             997               3               1;
    75    0.930            2000             828               2               1;
    76    0.942            2000             829               2               1;
    77    0.954            2000             985               2               0;
    78    0.967            2000            1275               2               0;
    79    0.979            2000            1662               3               0;
    80    0.992            2000            2070               3               0;
    81    1.004            2000            2415               3               0;
    82    1.016            2000            2632               3               0;
    83    1.029            2000            2681               3               0;
    84    1.041            2000            2552               3               0;
    85    1.054            2000            2279               3               0;
    86    1.066            2000            1909               3               1;
    87    1.078            2000            1510               3               1;
    88    1.091            2000            1166               3               1;
    89    1.103            2000             951               3               1;
    90    1.116            2000             907               2               1;
    91    1.128            2000            1026               2               1;
    92    1.140            2000            1286               2               0;
    93    1.153            2000            1635               2               0;
    94    1.165            2000            2004               3               0;
    95    1.178            2000            2321               3               0;
    96    1.190            2000            2525               3               0;
    97    1.202            2000            2581               3               0;
    98    1.215            2000            2470               3               0;
    99    1.227            2000            2220               3               0;
   100    1.240            2000            1874               3               0;
   101    1.252            2000            1501               3               1;
   102    1.264            2000            1184               3               1;
   103    1.277            2000             993               3               1;
   104    1.289            2000             972               3               1;
   105    1.302            2000            1106               3               1;
