 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.133            2000            1255               1               0;
     2    0.266            2000            4276               3               0;
     3    0.398            2000            3069               3               0;
     4    0.531            2000            1412               2               0;
     5    0.664            2000            2637               2               0;
     6    0.797            2000            2830               2               0;
     7    0.930            2000            2146               2               0;
     8    1.063            2000            2251               2               0;
     9    1.195            2000            2469               2               0;
    10    1.328            2000            2466               2               0;
    11    1.461            2000            2466               2               0;
    12    1.594            2000            2466               2               0;
    13    1.727            2000            2466               2               0;
    14    1.859            2000            2466               2               0;
    15    1.992            2000            2466               2               0;
    16    2.125            2000            2466               2               0;
    17    2.258            2000            2466               2               0;
    18    2.391            2000            2466               2               0;
    19    2.523            2000            2466               2               0;
    20    2.656            2000            2466               2               0;
    21    2.789            2000            2466               2               0;
    22    2.922            2000            2466               2               0;
    23    3.055               0            2395               2               0;
    24    3.188               0            -411               0               0;
    25    3.320               0           -1309              -2               0;
    26    3.453               0             685               0               0;
    27    3.586               0             630               1               0;
    28    3.719               0            -361               0               0;
    29    3.852               0            -125               0               0;
    30    3.984               0              17               0               0;
    31    4.117               0              17               0               0;
    32    4.250               0              17               0               0;
    33    4.383               0              17               0               0;
    34    4.516               0              17               0               0;
    35    4.648               0              17               0               0;
    36    4.781               0              17               0               0;
    37    4.914               0              17               0               0;
    38    5.047               0              17               0               0;
    39    5.180               0              17               0               0;
    40    5.313               0              17               0               0;
    41    5.445               0              17               0               0;
    42    5.578               0              17               0               0;
    43    5.711               0              17               0               0;
    44    5.844               0              17               0               0;
    45    5.977               0              17               0               0;
    46    6.109            2000            1261               1               0;
    47    6.242            2000            4252               3               0;
    48    6.375            2000            3065               3               0;
    49    6.508            2000            1435               2               0;
    50    6.641            2000            2627               2               0;
    51    6.773            2000            2819               2               0;
    52    6.906            2000            2167               2               0;
    53    7.039            2000            2236               2               0;
    54    7.172            2000            2465               2               0;
    55    7.305            2000            2463               2               0;
    56    7.438            2000            2463               2               0;
    57    7.570            2000            2463               2               0;
    58    7.703            2000            2463               2               0;
    59    7.836            2000            2463               2               0;
    60    7.969            2000            2463               2               0;
    61    8.102            2000            2463               2               0;
    62    8.234            2000            2463               2               0;
    63    8.367            2000            2463               2               0;
    64    8.500            2000            2463               2               0;
    65    8.633            2000            2463               2               0;
    66    8.766            2000            2463               2               0;
    67    8.898            2000            2463               2               0;
    68    9.031               0            2393               2               0;
    69    9.164               0            -408               0               0;
    70    9.297               0           -1302              -2               0;
    71    9.430               0             679               0               0;
    72    9.563               0             619               1               0;
    73    9.695               0            -349               0               0;
    74    9.828               0            -126               0               0;
    75    9.961               0              -8               0               0;
    76   10.094               0              -8               0               0;
    77   10.227               0              -8               0               0;
    78   10.359               0              -8               0               0;
    79   10.492               0              -8               0               0;
    80   10.625               0              -8               0               0;
    81   10.758               0              -8               0               0;
    82   10.891               0              -8               0               0;
    83   11.023               0              -8               0               0;
    84   11.156               0              -8               0               0;
    85   11.289               0              -8               0               0;
    86   11.422               0              -8               0               0;
    87   11.555               0              -8               0               0;
    88   11.688               0              -8               0               0;
    89   11.820               0              -8               0               0;
    90   11.953               0              -8               0               0;
    91   12.086            2000              62               0               0;
    92   12.219            2000            3150               2               0;
    93   12.352            2000            3983               3               0;
    94   12.484            2000            1937               2               0;
    95   12.617            2000            1880               2               0;
    96   12.750            2000            2957               2               0;
    97   12.883            2000            2483               2               0;
    98   13.016            2000            2044               2               0;
    99   13.148            2000            2433               2               0;
   100   13.281            2000            2448               2               0;
   101   13.414            2000            2448               2               0;
   102   13.547            2000            2448               2               0;
   103   13.680            2000            2448               2               0;
   104   13.813            2000            2448               2               0;
   105   13.945            2000            2448               2               0;
   106   14.078            2000            2448               2               0;
   107   14.211            2000            2448               2               0;
   108   14.344            2000            2448               2               0;
   109   14.477            2000            2448               2               0;
   110   14.609            2000            2448               2               0;
   111   14.742            2000            2448               2               0;
   112   14.875            2000            2448               2               0;
   113   15.008               0            2448               2               0;
   114   15.141               0            1284               2               0;
   115   15.273               0           -1486              -1               0;
   116   15.406               0            -313               0               0;
   117   15.539               0             963               1               0;
   118   15.672               0              44               1               0;
   119   15.805               0            -309               0               0;
   120   15.938               0             -25               0               0;
   121   16.070               0             -20               0               0;
   122   16.203               0             -20               0               0;
   123   16.336               0             -20               0               0;
   124   16.469               0             -20               0               0;
   125   16.602               0             -20               0               0;
   126   16.734               0             -20               0               0;
   127   16.867               0             -20               0               0;
   128   17.000               0             -20               0               0;
   129   17.133               0             -20               0               0;
   130   17.266               0             -20               0               0;
   131   17.398               0             -20               0               0;
   132   17.531               0             -20               0               0;
   133   17.664               0             -20               0               0;
   134   17.797               0             -20               0               0]
