 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000             500               0               0               0;
     1    0.012             500               0               0               0;
     2    0.025             500               0               0               0;
     3    0.037             500               0               0               0;
     4    0.050             500               1               0               0;
     5    0.062             500               1               0               0;
     6    0.074             500               1               0               0;
     7    0.087             500               1               0               0;
     8    0.099             500               1               0               0;
     9    0.112             500               2               0               0;
    10    0.124             500               2               0               0;
    11    0.136             500               3               0               0;
    12    0.149             500               3               0               0;
    13    0.161             500               4               0               0;
    14    0.174             500               5               0               0;
    15    0.186             500               7               0               0;
    16    0.198             500               9               0               0;
    17    0.211             500              11               0               0;
    18    0.223             500              14               0               0;
    19    0.236             500              18               0               0;
    20    0.248             500              22               0               0;
    21    0.260             500              26               0               0;
    22    0.273             500              29               0               0;
    23    0.285             500              33               0               0;
    24    0.298             500              36               0               0;
    25    0.310             500              38               0               0;
    26    0.322             500              40               0               0;
    27    0.335             500              42               0               0;
    28    0.347             500              43               0               0;
    29    0.359             500              43               0               0;
    30    0.372             500              44               0               0;
    31    0.384             500              44               0               0;
    32    0.397             500              45               0               0;
    33    0.409             500              46               0               0;
    34    0.421             500              48               0               0;
    35    0.434             500              51               0               0;
    36    0.446             500              55               0               0;
    37    0.459             500              60               0               0;
    38    0.471             500              67               0               0;
    39    0.483             500              76               0               0;
    40    0.496             500              87               0               0;
    41    0.508             500             100               0               0;
    42    0.521             500             114               0               0;
    43    0.533             500             130               0               0;
    44    0.545             500             147               0               0;
    45    0.558             500             164               0               0;
    46    0.570             500             183               0               0;
    47    0.583             500             203               0               0;
    48    0.595             500             223               0               0;
    49    0.607             500             243               0               0;
    50    0.620             500             263               0               0;
    51    0.632             500             284               0               0;
    52    0.645             500             305               0               0;
    53    0.657             500             326               0               0;
    54    0.669             500             347               0               0;
    55    0.682             500             367               0               0;
    56    0.694             500             385               0               0;
    57    0.707             500             400               0               0;
    58    0.719             500             411               0               0;
    59    0.731             500             418               0               0;
    60    0.744             500             421               0               0;
    61    0.756             500             420               0               0;
    62    0.769             500             418               0               0;
    63    0.781             500             418               0               0;
    64    0.793             500             418               0               0;
    65    0.806             500             418               0               0;
    66    0.818             500             418               0               0;
    67    0.831             500             418               0               0;
    68    0.843             500             418               0               0;
    69    0.855             500             418               0               0;
    70    0.868             500             418               0               0;
    71    0.880             500             418               0               0;
    72    0.893             500             418               0               0;
    73    0.905             500             418               0               0;
    74    0.917             500             418               0               0;
    75    0.930             500             418               0               0;
    76    0.942             500             418               0               0;
    77    0.954             500             418               0               0;
    78    0.967             500             418               0               0;
    79    0.979             500             418               0               0;
    80    0.992             500             418               0               0;
    81    1.004             500             418               0               0;
