 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000              -1               0               0;
     1    0.012            2000              -1               0               0;
     2    0.025            2000               5               0               0;
     3    0.037            2000              12               0               0;
     4    0.050            2000              22               0               0;
     5    0.062            2000              34               0               0;
     6    0.074            2000              48               0               0;
     7    0.087            2000              64               0               0;
     8    0.099            2000              83               0               0;
     9    0.112            2000             104               0               0;
    10    0.124            2000             129               0               0;
    11    0.136            2000             158               0               0;
    12    0.149            2000             192               0               0;
    13    0.161            2000             231               0               0;
    14    0.174            2000             277               0               0;
    15    0.186            2000             329               0               0;
    16    0.198            2000             387               0               0;
    17    0.211            2000             451               0               0;
    18    0.223            2000             517               0               0;
    19    0.236            2000             586               0               0;
    20    0.248            2000             656               0               0;
    21    0.260            2000             726               0               0;
    22    0.273            2000             797               0               0;
    23    0.285            2000             867               0               0;
    24    0.298            2000             933               0               0;
    25    0.310            2000             995               0               0;
    26    0.322            2000            1052               0               0;
    27    0.335            2000            1103               0               0;
    28    0.347            2000            1148               0               0;
    29    0.359            2000            1187               0               0;
    30    0.372            2000            1220               0               0;
    31    0.384            2000            1246               0               0;
    32    0.397            2000            1264               0               0;
    33    0.409            2000            1273               0               0;
    34    0.421            2000            1275               0               0;
    35    0.434            2000            1272               0               0;
    36    0.446            2000            1270               0               0;
    37    0.459            2000            1269               0               0;
    38    0.471            2000            1270               0               0;
    39    0.483            2000            1270               0               0;
    40    0.496            2000            1270               0               0;
    41    0.508            2000            1270               0               0;
    42    0.521            2000            1270               0               0;
    43    0.533            2000            1271               0               0;
    44    0.545            2000            1271               0               0;
    45    0.558            2000            1272               0               0;
    46    0.570            2000            1273               0               0;
    47    0.583            2000            1274               0               0;
    48    0.595            2000            1275               0               0;
    49    0.607            2000            1276               0               0;
    50    0.620            2000            1278               0               0;
    51    0.632            2000            1281               0               0;
    52    0.645            2000            1286               0               0;
    53    0.657            2000            1292               0               0;
    54    0.669            2000            1301               0               0;
    55    0.682            2000            1313               0               0;
    56    0.694            2000            1325               0               0;
    57    0.707            2000            1340               0               0;
    58    0.719            2000            1356               0               0;
    59    0.731            2000            1374               0               0;
    60    0.744            2000            1393               0               0;
    61    0.756            2000            1414               0               0;
    62    0.769            2000            1437               0               0;
