 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            2000               1         -0.0476;
     1    0.006            2000               1          0.1477;
     2    0.012            2000               2          0.1673;
     3    0.019            2000               3          0.1868;
     4    0.025            2000               5          0.2063;
     5    0.031            2000               6          0.2253;
     6    0.037            2000               9          0.2448;
     7    0.043            2000              11          0.2643;
     8    0.050            2000              14          0.2833;
     9    0.056            2000              18          0.3022;
    10    0.062            2000              23          0.3211;
    11    0.068            2000              27          0.3400;
    12    0.074            2000              33          0.3590;
    13    0.081            2000              39          0.3779;
    14    0.087            2000              47          0.3962;
    15    0.093            2000              55          0.4145;
    16    0.099            2000              63          0.4328;
    17    0.105            2000              73          0.4512;
    18    0.112            2000              84          0.4689;
    19    0.118            2000              96          0.4866;
    20    0.124            2000             109          0.5037;
    21    0.130            2000             123          0.5214;
    22    0.136            2000             138          0.5385;
    23    0.143            2000             155          0.5549;
    24    0.149            2000             173          0.5714;
    25    0.155            2000             192          0.5873;
    26    0.161            2000             214          0.6032;
    27    0.167            2000             236          0.6184;
    28    0.174            2000             261          0.6337;
    29    0.180            2000             287          0.6484;
    30    0.186            2000             315          0.6624;
    31    0.192            2000             346          0.6764;
    32    0.198            2000             379          0.6899;
    33    0.205            2000             412          0.7027;
    34    0.211            2000             447          0.7149;
    35    0.217            2000             483          0.7265;
    36    0.223            2000             519          0.7381;
    37    0.229            2000             556          0.7491;
    38    0.236            2000             593          0.7601;
    39    0.242            2000             631          0.7705;
    40    0.248            2000             669          0.7802;
    41    0.254            2000             707          0.7900;
    42    0.260            2000             745          0.7991;
    43    0.267            2000             784          0.8077;
    44    0.273            2000             822          0.8156;
    45    0.279            2000             861          0.8236;
    46    0.285            2000             897          0.8315;
    47    0.291            2000             933          0.8388;
    48    0.298            2000             968          0.8462;
    49    0.304            2000            1002          0.8529;
    50    0.310            2000            1035          0.8596;
    51    0.316            2000            1066          0.8663;
    52    0.322            2000            1095          0.8724;
    53    0.328            2000            1123          0.8785;
    54    0.335            2000            1150          0.8846;
    55    0.341            2000            1175          0.8907;
    56    0.347            2000            1198          0.8962;
    57    0.353            2000            1219          0.9023;
    58    0.359            2000            1239          0.9078;
    59    0.366            2000            1256          0.9139;
    60    0.372            2000            1271          0.9194;
    61    0.378            2000            1284          0.9255;
    62    0.384            2000            1295          0.9310;
    63    0.390            2000            1303          0.9371;
    64    0.397            2000            1309          0.9432;
    65    0.403            2000            1312          0.9493;
    66    0.409            2000            1313          0.9560;
    67    0.415            2000            1312          0.9628;
    68    0.421            2000            1310          0.9695;
    69    0.428            2000            1308          0.9768;
    70    0.434            2000            1306          0.9835;
    71    0.440            2000            1305          0.9902;
    72    0.446            2000            1304          0.9976;
    73    0.452            2000            1304          1.0043;
    74    0.459            2000            1304          1.0110;
    75    0.465            2000            1305          1.0177;
    76    0.471            2000            1305          1.0244;
    77    0.477            2000            1305          1.0311;
    78    0.483            2000            1305          1.0379;
    79    0.490            2000            1305          1.0452;
    80    0.496            2000            1305          1.0519;
    81    0.502            2000            1305          1.0586;
    82    0.508            2000            1305          1.0653;
    83    0.514            2000            1305          1.0720;
    84    0.521            2000            1305          1.0788;
    85    0.527            2000            1306          1.0855;
    86    0.533            2000            1306          1.0922;
    87    0.539            2000            1306          1.0989;
    88    0.545            2000            1306          1.1056;
    89    0.552            2000            1307          1.1123;
    90    0.558            2000            1307          1.1190;
    91    0.564            2000            1307          1.1264;
    92    0.570            2000            1307          1.1331;
    93    0.576            2000            1308          1.1398;
    94    0.583            2000            1308          1.1465;
    95    0.589            2000            1308          1.1532;
    96    0.595            2000            1308          1.1600;
    97    0.601            2000            1309          1.1667;
    98    0.607            2000            1309          1.1734;
    99    0.614            2000            1309          1.1801;
   100    0.620            2000            1310          1.1868;
   101    0.626            2000            1310          1.1935;
   102    0.632            2000            1311          1.2002;
   103    0.638            2000            1312          1.2070;
   104    0.645            2000            1312          1.2137;
   105    0.651            2000            1313          1.2198;
   106    0.657            2000            1314          1.2265;
   107    0.663            2000            1314          1.2332;
   108    0.669            2000            1315          1.2399;
   109    0.676            2000            1316          1.2466;
   110    0.682            2000            1318          1.2534;
   111    0.688            2000            1319          1.2595;
   112    0.694            2000            1321          1.2662;
   113    0.700            2000            1323          1.2729;
   114    0.707            2000            1326          1.2790;
   115    0.713            2000            1329          1.2851;
   116    0.719            2000            1332          1.2918;
   117    0.725            2000            1336          1.2979;
   118    0.731            2000            1340          1.3040;
   119    0.738            2000            1345          1.3101;
   120    0.744            2000            1350          1.3156;
   121    0.750            2000            1357          1.3217;
   122    0.756            2000            1364          1.3272;
   123    0.762            2000            1371          1.3327;
   124    0.769            2000            1380          1.3382;
   125    0.775            2000            1389          1.3437;
   126    0.781            2000            1399          1.3486;
   127    0.787            2000            1409          1.3535;
   128    0.793            2000            1420          1.3584;
   129    0.800            2000            1431          1.3632;
   130    0.806            2000            1442          1.3675;
   131    0.812            2000            1454          1.3718;
   132    0.818            2000            1467          1.3761;
   133    0.824            2000            1481          1.3803;
   134    0.831            2000            1495          1.3840;
   135    0.837            2000            1509          1.3877;
   136    0.843            2000            1524          1.3907;
   137    0.849            2000            1539          1.3944;
   138    0.855            2000            1555          1.3974;
   139    0.862            2000            1571          1.4005;
   140    0.868            2000            1587          1.4029;
   141    0.874            2000            1603          1.4054;
   142    0.880            2000            1618          1.4078;
   143    0.886            2000            1634          1.4103;
   144    0.893            2000            1649          1.4127;
   145    0.899            2000            1663          1.4145;
   146    0.905            2000            1676          1.4164;
   147    0.911            2000            1688          1.4188;
   148    0.917            2000            1698          1.4206;
   149    0.923            2000            1707          1.4225;
   150    0.930            2000            1715          1.4249;
   151    0.936            2000            1720          1.4267;
   152    0.942            2000            1724          1.4292;
   153    0.948            2000            1727          1.4316;
   154    0.954            2000            1728          1.4341;
   155    0.961            2000            1728          1.4365;
   156    0.967            2000            1727          1.4396;
   157    0.973            2000            1727          1.4420;
   158    0.979            2000            1727          1.4444;
   159    0.985            2000            1727          1.4475;
   160    0.992            2000            1727          1.4499;
   161    0.998            2000            1727          1.4530;
   162    1.004            2000            1727          1.4554;
   163    1.010            2000            1727          1.4579;
   164    1.016            2000            1727          1.4609;
   165    1.023            2000            1727          1.4634;
   166    1.029            2000            1727          1.4658;
   167    1.035            2000            1727          1.4689;
   168    1.041            2000            1727          1.4713;
   169    1.047            2000            1727          1.4737;
   170    1.054            2000            1727          1.4768;
   171    1.060            2000            1727          1.4792;
   172    1.066            2000            1727          1.4823;
   173    1.072            2000            1727          1.4847;
   174    1.078            2000            1727          1.4872;
   175    1.085            2000            1727          1.4902;
   176    1.091            2000            1727          1.4927;
   177    1.097            2000            1727          1.4951;
   178    1.103            2000            1727          1.4982;
   179    1.109            2000            1727          1.5006;
   180    1.116            2000            1727          1.5037;
   181    1.122            2000            1727          1.5061;
   182    1.128            2000            1727          1.5085;
   183    1.134            2000            1727          1.5116;
   184    1.140            2000            1727          1.5140;
   185    1.147            2000            1727          1.5165;
   186    1.153            2000            1727          1.5195;
   187    1.159            2000            1727          1.5220;
   188    1.165            2000            1727          1.5244;
   189    1.171            2000            1727          1.5275;
   190    1.178            2000            1727          1.5299;
   191    1.184            2000            1727          1.5330;
   192    1.190            2000            1727          1.5354;
   193    1.196            2000            1727          1.5379;
   194    1.202            2000            1727          1.5409;
   195    1.209            2000            1727          1.5433;
   196    1.215            2000            1728          1.5458;
   197    1.221            2000            1728          1.5488;
   198    1.227            2000            1728          1.5513;
   199    1.233            2000            1728          1.5537;
   200    1.240            2000            1728          1.5568;
   201    1.246            2000            1728          1.5592;
   202    1.252            2000            1728          1.5617;
   203    1.258            2000            1728          1.5647;
   204    1.264            2000            1728          1.5672;
   205    1.271            2000            1728          1.5696;
   206    1.277            2000            1728          1.5726;
   207    1.283            2000            1728          1.5751;
   208    1.289            2000            1728          1.5775;
   209    1.295            2000            1728          1.5806;
   210    1.302            2000            1728          1.5830;
   211    1.308            2000            1729          1.5861;
   212    1.314            2000            1729          1.5885;
   213    1.320            2000            1729          1.5910;
   214    1.326            2000            1729          1.5934;
