 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            2000               0          0.0195;
     1    0.012            2000               0          0.2149;
     2    0.025            2000               3          0.2344;
     3    0.037            2000              10          0.2534;
     4    0.050            2000              20          0.2717;
     5    0.062            2000              32          0.2900;
     6    0.074            2000              43          0.3077;
     7    0.087            2000              55          0.3260;
     8    0.099            2000              67          0.3437;
     9    0.112            2000              80          0.3614;
    10    0.124            2000              94          0.3785;
    11    0.136            2000             109          0.3962;
    12    0.149            2000             125          0.4127;
    13    0.161            2000             142          0.4298;
    14    0.174            2000             161          0.4457;
    15    0.186            2000             183          0.4621;
    16    0.198            2000             206          0.4774;
    17    0.211            2000             232          0.4927;
    18    0.223            2000             261          0.5067;
    19    0.236            2000             293          0.5208;
    20    0.248            2000             328          0.5342;
    21    0.260            2000             367          0.5470;
    22    0.273            2000             408          0.5586;
    23    0.285            2000             448          0.5708;
    24    0.298            2000             487          0.5818;
    25    0.310            2000             523          0.5934;
    26    0.322            2000             556          0.6044;
    27    0.335            2000             586          0.6154;
    28    0.347            2000             613          0.6270;
    29    0.359            2000             636          0.6380;
    30    0.372            2000             656          0.6496;
    31    0.384            2000             672          0.6612;
    32    0.397            2000             685          0.6728;
    33    0.409            2000             695          0.6844;
    34    0.421            2000             704          0.6966;
    35    0.434            2000             711          0.7082;
    36    0.446            2000             717          0.7204;
    37    0.459            2000             723          0.7320;
    38    0.471            2000             730          0.7442;
    39    0.483            2000             737          0.7558;
    40    0.496            2000             745          0.7674;
    41    0.508            2000             754          0.7790;
    42    0.521            2000             764          0.7900;
    43    0.533            2000             774          0.8010;
    44    0.545            2000             785          0.8120;
    45    0.558            2000             796          0.8230;
    46    0.570            2000             808          0.8333;
    47    0.583            2000             820          0.8437;
    48    0.595            2000             831          0.8547;
    49    0.607            2000             843          0.8645;
    50    0.620            2000             853          0.8748;
    51    0.632            2000             863          0.8852;
    52    0.645            2000             871          0.8956;
    53    0.657            2000             879          0.9060;
    54    0.669            2000             887          0.9158;
    55    0.682            2000             894          0.9261;
    56    0.694            2000             902          0.9365;
    57    0.707            2000             911          0.9463;
    58    0.719            2000             919          0.9560;
    59    0.731            2000             929          0.9658;
    60    0.744            2000             939          0.9750;
    61    0.756            2000             949          0.9847;
    62    0.769            2000             961          0.9939;
    63    0.781            2000             975          1.0024;
    64    0.793            2000             990          1.0110;
    65    0.806            2000            1007          1.0195;
    66    0.818            2000            1025          1.0275;
    67    0.831            2000            1045          1.0348;
    68    0.843            2000            1065          1.0421;
    69    0.855            2000            1086          1.0495;
    70    0.868            2000            1107          1.0562;
    71    0.880            2000            1129          1.0629;
    72    0.893            2000            1151          1.0696;
    73    0.905            2000            1173          1.0757;
    74    0.917            2000            1196          1.0812;
    75    0.930            2000            1219          1.0873;
    76    0.942            2000            1242          1.0922;
    77    0.954            2000            1263          1.0977;
    78    0.967            2000            1281          1.1032;
    79    0.979            2000            1297          1.1087;
    80    0.992            2000            1310          1.1142;
    81    1.004            2000            1320          1.1203;
    82    1.016            2000            1326          1.1258;
    83    1.029            2000            1329          1.1325;
    84    1.041            2000            1329          1.1386;
    85    1.054            2000            1329          1.1453;
    86    1.066            2000            1329          1.1520;
    87    1.078            2000            1329          1.1581;
    88    1.091            2000            1329          1.1648;
    89    1.103            2000            1329          1.1716;
    90    1.116            2000            1329          1.1783;
    91    1.128            2000            1329          1.1844;
    92    1.140            2000            1329          1.1911;
    93    1.153            2000            1330          1.1978;
    94    1.165            2000            1330          1.2039;
    95    1.178            2000            1331          1.2106;
    96    1.190            2000            1332          1.2173;
    97    1.202            2000            1333          1.2234;
    98    1.215            2000            1334          1.2302;
    99    1.227            2000            1336          1.2363;
   100    1.240            2000            1338          1.2424;
   101    1.252            2000            1341          1.2485;
   102    1.264            2000            1343          1.2552;
   103    1.277            2000            1347          1.2613;
   104    1.289            2000            1352          1.2668;
   105    1.302            2000            1357          1.2729;
   106    1.314            2000            1364          1.2784;
   107    1.326            2000            1371          1.2839;
   108    1.339            2000            1378          1.2894;
   109    1.351            2000            1387          1.2949;
   110    1.364            2000            1397          1.2998;
   111    1.376            2000            1408          1.3046;
   112    1.388            2000            1419          1.3095;
   113    1.401            2000            1431          1.3138;
   114    1.413            2000            1443          1.3181;
   115    1.426            2000            1454          1.3223;
   116    1.438            2000            1466          1.3266;
   117    1.450            2000            1480          1.3309;
   118    1.463            2000            1493          1.3346;
   119    1.475            2000            1506          1.3382;
   120    1.488            2000            1519          1.3419;
   121    1.500            2000            1532          1.3449;
   122    1.512            2000            1546          1.3486;
   123    1.525            2000            1559          1.3516;
   124    1.537            2000            1571          1.3547;
   125    1.549            2000            1582          1.3578;
   126    1.562            2000            1592          1.3608;
   127    1.574            2000            1600          1.3639;
   128    1.587            2000            1606          1.3675;
   129    1.599            2000            1611          1.3706;
   130    1.611            2000            1614          1.3742;
   131    1.624            2000            1616          1.3779;
   132    1.636            2000            1618          1.3816;
   133    1.649            2000            1618          1.3852;
   134    1.661            2000            1618          1.3889;
   135    1.673            2000            1619          1.3926;
   136    1.686            2000            1619          1.3962;
   137    1.698            2000            1619          1.3999;
   138    1.711            2000            1620          1.4035;
   139    1.723            2000            1620          1.4072;
   140    1.735            2000            1621          1.4109;
   141    1.748            2000            1622          1.4145;
   142    1.760            2000            1623          1.4182;
   143    1.773            2000            1624          1.4219;
   144    1.785            2000            1626          1.4249;
   145    1.797            2000            1627          1.4286;
   146    1.810            2000            1629          1.4322;
   147    1.822            2000            1631          1.4353;
   148    1.835            2000            1633          1.4389;
   149    1.847            2000            1635          1.4426;
   150    1.859            2000            1637          1.4457;
   151    1.872            2000            1640          1.4487;
   152    1.884            2000            1642          1.4524;
   153    1.897            2000            1644          1.4554;
   154    1.909            2000            1646          1.4591;
   155    1.921            2000            1648          1.4621;
   156    1.934            2000            1651          1.4652;
   157    1.946            2000            1653          1.4689;
   158    1.959            2000            1654          1.4719;
   159    1.971            2000            1656          1.4750;
   160    1.983            2000            1657          1.4780;
   161    1.996            2000            1659          1.4817;
   162    2.008            2000            1660          1.4847;
   163    2.021            2000            1662          1.4878;
   164    2.033            2000            1664          1.4908;
   165    2.045            2000            1666          1.4939;
   166    2.058            2000            1669          1.4969;
   167    2.070            2000            1671          1.5000;
   168    2.083            2000            1675          1.5031;
   169    2.095            2000            1679          1.5055;
   170    2.107            2000            1684          1.5085;
   171    2.120            2000            1690          1.5110;
   172    2.132            2000            1695          1.5134;
   173    2.144            2000            1700          1.5159;
   174    2.157            2000            1704          1.5183;
   175    2.169            2000            1707          1.5208;
   176    2.182            2000            1710          1.5238;
