 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000             154              44          1.5043;
     1    0.001             154              44          1.5043;
     2    0.002             154              44          1.5043;
     3    0.003             154              44          1.5043;
     4    0.004             154              44          1.5043;
     5    0.004             154              44          1.5043;
     6    0.005             154              46          1.5043;
     7    0.006             154              47          1.5043;
     8    0.007             154              49          1.5043;
     9    0.008             154              51          1.5043;
    10    0.009             154              53          1.5043;
    11    0.010             154              56          1.5043;
    12    0.011             154              58          1.5043;
    13    0.012             154              61          1.5043;
    14    0.012             154              64          1.5043;
    15    0.013             154              68          1.5043;
    16    0.014             154              71          1.5043;
    17    0.015             154              75          1.5043;
    18    0.016             154              79          1.5043;
    19    0.017             154              83          1.5043;
    20    0.018             154              88          1.5043;
    21    0.019             154              92          1.5043;
    22    0.019             154              97          1.5043;
    23    0.020             154             102          1.5043;
    24    0.021             154             107          1.5043;
    25    0.022             154             113          1.5043;
    26    0.023             154             118          1.5043;
    27    0.024             154             124          1.5043;
    28    0.025             154             130          1.5043;
    29    0.026             154             136          1.5043;
    30    0.027             154             142          1.5043;
    31    0.027             154             149          1.5043;
    32    0.028             154             155          1.5043;
    33    0.029             154             162          1.5043;
    34    0.030             154             170          1.5043;
    35    0.031             154             177          1.5043;
    36    0.032             154             184          1.5043;
    37    0.033             154             192          1.5043;
    38    0.034             154             200          1.5043;
    39    0.035             154             208          1.5043;
    40    0.035             154             216          1.5043;
    41    0.036             154             224          1.5043;
    42    0.037             154             233          1.5043;
    43    0.038             154             242          1.5043;
    44    0.039             154             251          1.5043;
    45    0.040             154             260          1.5043;
    46    0.041             154             269          1.5043;
    47    0.042             154             278          1.5043;
    48    0.043             154             288          1.5043;
    49    0.043             154             298          1.5043;
    50    0.044             154             308          1.5043;
    51    0.045             154             318          1.5043;
    52    0.046             154             328          1.5043;
    53    0.047             154             339          1.5043;
    54    0.048             154             350          1.5043;
    55    0.049             154             361          1.5043;
    56    0.050             154             372          1.5043;
    57    0.050             154             383          1.5043;
    58    0.051             154             394          1.5043;
    59    0.052             154             406          1.5043;
    60    0.053             154             418          1.5043;
    61    0.054             154             430          1.5043;
    62    0.055             154             443          1.5043;
    63    0.056             154             455          1.5043;
    64    0.057             154             468          1.5043;
    65    0.058             154             481          1.5043;
    66    0.058             154             494          1.5043;
    67    0.059             154             507          1.5043;
    68    0.060             154             520          1.5043;
    69    0.061             154             534          1.5043;
    70    0.062             154             548          1.5043;
    71    0.063             154             562          1.5043;
    72    0.064             154             575          1.5043;
    73    0.065             154             589          1.5043;
    74    0.066             154             604          1.5043;
    75    0.066             154             618          1.5043;
    76    0.067             154             632          1.5043;
    77    0.068             154             647          1.5043;
    78    0.069             154             662          1.5043;
    79    0.070             154             677          1.5043;
    80    0.071             154             693          1.5043;
    81    0.072             154             708          1.5043;
    82    0.073             154             723          1.5043;
    83    0.073             154             738          1.5043;
    84    0.074             154             754          1.5043;
    85    0.075             154             770          1.5043;
    86    0.076             154             786          1.5043;
    87    0.077             154             802          1.5043;
    88    0.078             154             818          1.5043;
    89    0.079             154             834          1.5043;
    90    0.080             154             851          1.5043;
    91    0.081             154             867          1.5043;
    92    0.081             154             884          1.5043;
    93    0.082             154             901          1.5043;
    94    0.083             154             918          1.5043;
    95    0.084             154             934          1.5043;
    96    0.085             154             951          1.5043;
    97    0.086             154             968          1.5043;
    98    0.087             154             985          1.5043;
    99    0.088             154            1002          1.5043;
   100    0.089             154            1020          1.5043;
   101    0.089             154            1037          1.5043;
   102    0.090             154            1055          1.5043;
   103    0.091             154            1072          1.5043;
   104    0.092             154            1090          1.5043;
   105    0.093             154            1108          1.5043;
   106    0.094             154            1126          1.5043;
   107    0.095             154            1144          1.5043;
   108    0.096             154            1162          1.5043;
   109    0.097             154            1180          1.5043;
   110    0.097             154            1198          1.5043;
   111    0.098             154            1216          1.5043;
   112    0.099             154            1235          1.5043;
   113    0.100             154            1253          1.5043;
   114    0.101             154            1272          1.5043;
   115    0.102             154            1290          1.5043;
   116    0.103             154            1309          1.5043;
   117    0.104             154            1328          1.5043;
   118    0.104             154            1347          1.5043;
   119    0.105             154            1366          1.5043;
   120    0.106             154            1386          1.5043;
   121    0.107             154            1404          1.5043;
   122    0.108             154            1423          1.5043;
   123    0.109             154            1442          1.5043;
   124    0.110             154            1461          1.5043;
   125    0.111             154            1481          1.5043;
   126    0.112             154            1500          1.5043;
   127    0.112             154            1520          1.5043;
   128    0.113             154            1538          1.5043;
   129    0.114             154            1558          1.5043;
