 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            2031              30         -0.2698;
     1    0.014            2031              32         -0.0623;
     2    0.028            2031              33         -0.0415;
     3    0.043            2031              34         -0.0201;
     4    0.057            2031              34          0.0012;
     5    0.071            2031              34          0.0232;
     6    0.085            2031              34          0.0446;
     7    0.099            2031              34          0.0659;
     8    0.113            2031              34          0.0873;
     9    0.128            2031              34          0.1087;
    10    0.142            2031              34          0.1300;
    11    0.156            2031              38          0.1514;
    12    0.170            2031              45          0.1728;
    13    0.184            2031              54          0.1929;
    14    0.198            2031              66          0.2137;
    15    0.213            2031              79          0.2332;
    16    0.227            2031              94          0.2527;
    17    0.241            2031             111          0.2723;
    18    0.255            2031             130          0.2912;
    19    0.269            2031             149          0.3095;
    20    0.283            2031             169          0.3284;
    21    0.298            2031             188          0.3462;
    22    0.312            2031             208          0.3645;
    23    0.326            2031             227          0.3822;
    24    0.340            2031             247          0.3993;
    25    0.354            2031             266          0.4170;
    26    0.368            2031             286          0.4341;
    27    0.383            2031             307          0.4505;
    28    0.397            2031             329          0.4670;
    29    0.411            2031             353          0.4835;
    30    0.425            2031             378          0.4988;
    31    0.439            2031             405          0.5140;
    32    0.453            2031             435          0.5287;
    33    0.468            2031             467          0.5433;
    34    0.482            2031             500          0.5568;
    35    0.496            2031             533          0.5702;
    36    0.510            2031             564          0.5830;
    37    0.524            2031             592          0.5958;
    38    0.538            2031             617          0.6087;
    39    0.553            2031             639          0.6215;
    40    0.567            2031             657          0.6349;
    41    0.581            2031             674          0.6477;
    42    0.595            2031             691          0.6606;
    43    0.609            2031             707          0.6734;
    44    0.623            2031             722          0.6862;
    45    0.638            2031             737          0.6990;
    46    0.652            2031             750          0.7112;
    47    0.666            2031             765          0.7241;
    48    0.680            2031             779          0.7363;
    49    0.694            2031             794          0.7479;
    50    0.708            2031             810          0.7601;
    51    0.723            2031             827          0.7717;
    52    0.737            2031             847          0.7827;
    53    0.751            2031             868          0.7937;
    54    0.765            2031             891          0.8040;
    55    0.779            2031             914          0.8138;
    56    0.793            2031             936          0.8236;
    57    0.808            2031             957          0.8333;
    58    0.822            2031             977          0.8431;
    59    0.836            2031             995          0.8523;
    60    0.850            2031            1010          0.8620;
    61    0.864            2031            1022          0.8718;
    62    0.878            2031            1030          0.8816;
    63    0.893            2031            1037          0.8913;
    64    0.907            2031            1042          0.9011;
    65    0.921            2031            1046          0.9115;
    66    0.935            2031            1051          0.9219;
    67    0.949            2031            1056          0.9316;
    68    0.963            2031            1061          0.9420;
    69    0.978            2031            1068          0.9518;
    70    0.992            2031            1074          0.9615;
    71    1.006            2031            1081          0.9713;
    72    1.020            2031            1088          0.9805;
    73    1.034            2031            1096          0.9902;
    74    1.048            2031            1104          0.9994;
    75    1.063            2031            1115          1.0085;
