 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            2000               1         -0.1422;
     1    0.014            2000               1         -0.0641;
     2    0.028            2000               1         -0.0232;
     3    0.043            2000               1          0.0183;
     4    0.057            2000               1          0.0592;
     5    0.071            2000               1          0.1007;
     6    0.085            2000               1          0.1416;
     7    0.099            2000               5          0.1832;
     8    0.113            2000              16          0.2241;
     9    0.128            2000              30          0.2643;
    10    0.142            2000              50          0.3046;
    11    0.156            2000              74          0.3443;
    12    0.170            2000             103          0.3828;
    13    0.184            2000             135          0.4212;
    14    0.198            2000             171          0.4591;
    15    0.213            2000             211          0.4957;
    16    0.227            2000             256          0.5311;
    17    0.241            2000             307          0.5659;
    18    0.255            2000             362          0.5995;
    19    0.269            2000             424          0.6313;
    20    0.283            2000             491          0.6618;
    21    0.298            2000             561          0.6911;
    22    0.312            2000             632          0.7192;
    23    0.326            2000             706          0.7454;
    24    0.340            2000             781          0.7698;
    25    0.354            2000             857          0.7930;
    26    0.368            2000             932          0.8144;
    27    0.383            2000            1003          0.8346;
    28    0.397            2000            1068          0.8529;
    29    0.411            2000            1128          0.8706;
    30    0.425            2000            1182          0.8871;
    31    0.439            2000            1228          0.9023;
    32    0.453            2000            1266          0.9170;
    33    0.468            2000            1297          0.9310;
    34    0.482            2000            1318          0.9451;
    35    0.496            2000            1330          0.9585;
    36    0.510            2000            1333          0.9725;
    37    0.524            2000            1331          0.9860;
    38    0.538            2000            1330          1.0000;
    39    0.553            2000            1330          1.0134;
    40    0.567            2000            1330          1.0275;
    41    0.581            2000            1330          1.0415;
    42    0.595            2000            1330          1.0549;
    43    0.609            2000            1330          1.0690;
    44    0.623            2000            1331          1.0824;
    45    0.638            2000            1331          1.0965;
    46    0.652            2000            1331          1.1105;
    47    0.666            2000            1332          1.1239;
    48    0.680            2000            1332          1.1380;
    49    0.694            2000            1333          1.1514;
    50    0.708            2000            1334          1.1654;
    51    0.723            2000            1335          1.1789;
    52    0.737            2000            1337          1.1929;
    53    0.751            2000            1340          1.2063;
    54    0.765            2000            1344          1.2198;
    55    0.779            2000            1349          1.2332;
    56    0.793            2000            1356          1.2466;
    57    0.808            2000            1366          1.2595;
    58    0.822            2000            1378          1.2723;
    59    0.836            2000            1393          1.2845;
    60    0.850            2000            1411          1.2967;
    61    0.864            2000            1432          1.3083;
    62    0.878            2000            1457          1.3193;
    63    0.893            2000            1483          1.3297;
    64    0.907            2000            1511          1.3400;
    65    0.921            2000            1541          1.3492;
    66    0.935            2000            1572          1.3578;
    67    0.949            2000            1606          1.3657;
    68    0.963            2000            1641          1.3730;
    69    0.978            2000            1675          1.3791;
    70    0.992            2000            1708          1.3852;
    71    1.006            2000            1738          1.3901;
    72    1.020            2000            1761          1.3950;
    73    1.034            2000            1779          1.3993;
    74    1.048            2000            1790          1.4035;
    75    1.063            2000            1795          1.4072;
    76    1.077            2000            1795          1.4115;
    77    1.091            2000            1794          1.4158;
    78    1.105            2000            1794          1.4200;
    79    1.119            2000            1794          1.4243;
    80    1.133            2000            1794          1.4286;
    81    1.148            2000            1794          1.4328;
    82    1.162            2000            1795          1.4371;
    83    1.176            2000            1795          1.4414;
    84    1.190            2000            1795          1.4457;
    85    1.204            2000            1795          1.4499;
    86    1.218            2000            1795          1.4542;
    87    1.233            2000            1795          1.4585;
    88    1.247            2000            1795          1.4621;
    89    1.261            2000            1795          1.4664;
    90    1.275            2000            1795          1.4707;
    91    1.289            2000            1795          1.4750;
    92    1.303            2000            1795          1.4792;
    93    1.318            2000            1795          1.4835;
    94    1.332            2000            1795          1.4878;
    95    1.346            2000            1795          1.4921;
    96    1.360            2000            1795          1.4963;
    97    1.374            2000            1795          1.5006;
    98    1.388            2000            1796          1.5049;
    99    1.403            2000            1796          1.5092;
   100    1.417            2000            1796          1.5128;
   101    1.431            2000            1797          1.5171;
   102    1.445            2000            1797          1.5214;
   103    1.459            2000            1797          1.5256;
   104    1.473            2000            1798          1.5299;
   105    1.488            2000            1800          1.5342;
   106    1.502            2000            1801          1.5379;
   107    1.516            2000            1803          1.5421;
   108    1.530            2000            1805          1.5458;
   109    1.544            2000            1807          1.5501;
